text,label
could you help me to check your allowed payment methods?,queries_related_to_payments/fee
tell me your allowed payment methods,queries_related_to_payments/fee
i don't know how i could check your allowed payment methods,queries_related_to_payments/fee
i do not know how to check your allowed payment methods,queries_related_to_payments/fee
i have to check what payment methods are allowed help me,queries_related_to_payments/fee
is it possible to check what payment options are accepted?,queries_related_to_payments/fee
where could i check what payment methods are available?,queries_related_to_payments/fee
i want assistance checking your allowed payment methods,queries_related_to_payments/fee
can i check your allowed payment methods?,queries_related_to_payments/fee
help me to check your allowed payment methods,queries_related_to_payments/fee
seeing accepted payment options,queries_related_to_payments/fee
i want to check in what cases can i ask to be refunded,queries_related_to_refund
i try to check in what cases can i ask for refunds,queries_related_to_refund
help me checking how long refunds usually take,queries_related_to_refund
can i check under what circumstances can i ask for refunds?,queries_related_to_refund
can you help me to check your refund policy?,queries_related_to_refund
assistance to check your money back policy,queries_related_to_refund
check under what circumstances can i ask to be refunded,queries_related_to_refund
can you show me in what cases can i ask for refunds?,queries_related_to_refund
help checking in what cases can i ask to be refunded,queries_related_to_refund
how could i check your refund policy?,queries_related_to_refund
help checking in what cases can i ask for a refund,queries_related_to_refund
help me check in what cases can i ask to be refunded,queries_related_to_refund
in what cases can i ask to be refunded?,queries_related_to_refund
i need help checking in what cases can i ask for refunds,queries_related_to_refund
check in what cases can i ask to be refunded,queries_related_to_refund
assistance checking in what cases can i ask for a refund,queries_related_to_refund
assistance to check in what cases can i ask for a refund,queries_related_to_refund
i don't know how i can check your money back policy,queries_related_to_refund
could you help me checking how long refunds take?,queries_related_to_refund
i need assistance to check how long refunds usually take,queries_related_to_refund
i would like to check your money back policy,queries_related_to_refund
i am trying to check in what cases can i ask for a refund,queries_related_to_refund
where to check your refund policy?,queries_related_to_refund
help me checking in what cases can i ask to be refunded,queries_related_to_refund
could you show me your money back policy?,queries_related_to_refund
i have got to check your money back policy,queries_related_to_refund
what do i have to do to check your refund policy?,queries_related_to_refund
in what cases can i ask for refunds?,queries_related_to_refund
assistance to check in what cases can i ask to be refunded,queries_related_to_refund
could i check in what cases can i ask to be refunded?,queries_related_to_refund
i don't know what i need to do to check your refund policy,queries_related_to_refund
can i check in what cases can i ask for my money back?,queries_related_to_refund
how do i check your money back policy?,queries_related_to_refund
can you show me how long refunds usually take?,queries_related_to_refund
will you show me in what cases can i ask for refunds?,queries_related_to_refund
could i check in what cases can i ask for a refund?,queries_related_to_refund
i want assistance checking your refund policy,queries_related_to_refund
help me file a complaint against your business,complaint
i call to file a complaint against your business,complaint
i need help to file a complaint against your business,complaint
can you help  me making a claim against your business?,complaint
i need assistance to file a complaint against your business,complaint
i do not know how to make a fucking consumer reclamation,complaint
i'm not happy wih ur service help me to file a claim,complaint
i want assistance to lodge a customer claim,complaint
i need help lodging a claim against ur organization,complaint
"i am not happy with your work, lodge a complaint",complaint
help making a consumer complaint against your company,complaint
i need assistance to file a complaint against ur company,complaint
i want to make a complaint against your company,complaint
can i make a complaint against your business?,complaint
want assistance making a damn customer complaint,complaint
i don't know what i need to do to file a complaint,complaint
can you help me file a complaint?,complaint
need assistance to make a consumer claim,complaint
help to file a consumer claim against your company,complaint
i am calling to file a complaint,complaint
help me filing a consumer complaint against ur company,complaint
help me filing a complaint,complaint
maing claim,complaint
how to check at what time customer service available is?,contact_support
i would like to contact customer service,contact_support
i am trying to contact customer service,contact_support
what time is customer service available?,contact_support
needto speak with customer support how to do it,contact_support
i need assistance to get in touch with customer support,contact_support
help me check what hours customer service available is,contact_support
i am trying to talk with bloody customer assistance,contact_support
tell me what hours i can contact customer service,contact_support
how do i check what hours i can contact customer support?,contact_support
i do not know what i need to do to contact customer service,contact_support
i have to contact customer service,contact_support
i want help to contact customer support,contact_support
i have to check what hours i can contact customer service,contact_support
can you tell me at what time i can contact customer service?,contact_support
i have to check at what time customer service available is,contact_support
i do not know how to get  in touch with customer support,contact_support
i do not know how i could contact customer service,contact_support
i do not know what to do to contact customer service,contact_support
i need help cxalling customer support,contact_support
i want to speak to customer assistance,contact_support
i try to check what hours customer service available is,contact_support
i need to contact customer service,contact_support
i don't know how to contact customer service,contact_support
assistance tospeak with an operator,contact_support
could ya help me to speak to a live agent,contact_support
help to speak to a person,contact_support
i dont know what to do to speak with a person,contact_support
help  me talking to somebody,contact_support
assistance to contact an agent,contact_support
i am tring to contact an agent,contact_support
i want assistancew to talk to somebody,contact_support
i don't know how i can chat with a person,contact_support
help to talk with someone,contact_support
uare not helpful at all can uhelp me to speak to an agent,contact_support
could you help me contact an agent?,contact_support
contact an agent,contact_support
can you help me to talk to an agent?,contact_support
assistance to talk to somebody,contact_support
i do not know what i need to do to chat with a live agent,contact_support
i need assistance to speak with a live agent,contact_support
could you help me speak with an agent?,contact_support
want assistance to speak to someone,contact_support
i don'tknow what to do to talk to an agent,contact_support
talk with a live agent,contact_support
help me to speak with an agent,contact_support
i want to contact an agent,contact_support
want assistance to speak to a hunan agent,contact_support
talk to an agent,contact_support
what do i need to do to talk to an agent?,contact_support
i dont know what i have to do to speak to somebody,contact_support
talk to agent,contact_support
i cannot understand ya help chtting with an assistant,contact_support
transfer to me an agent,contact_support
i do not know how i could talk to an agent,contact_support
i do not know what i need to do to talk to an agent,contact_support
i want help to contact an agent,contact_support
i cannot talk to an agent,contact_support
i want to talk to an agent,contact_support
could you help me contacting an agent?,contact_support
speak to an agent,contact_support
speak to an assistant,contact_support
i want help talking with somebody,contact_support
i dont know how i can talk to a live agent,contact_support
uare not being helpful can uhelp me to speak to a live agent,contact_support
need help to talk with an agent,contact_support
i dont know what to do to create another standard account,account_management
i need assistance to craete a new user account,account_management
i need help to open a fucking account,account_management
need to creae a different online account how can i do it,account_management
"i am not your customer yet, i need assistaance registering",account_management
i do not know how to register,account_management
need help opening a different account,account_management
i try to create a new user account,account_management
want assistance to open a new freemium account,account_management
i want to create an account,account_management
"i am not an customer, assistance to register",account_management
how can i create an account?,account_management
can uhelp me to open a new account,account_management
want help creating a new user account,account_management
can you help me open another account for my fiancee?,account_management
"i am not an member yet, need help to register",account_management
help me to open a different user account,account_management
i want hhelp to open another online account for my husband,account_management
"i have not signed up, i need help to oopen a user account",account_management
want assistance opening a new user account for my father,account_management
would it be possible to register?,account_management
what do i need to do to open a new account,account_management
i need assistance to create an online account,account_management
i want assistance registering,account_management
i have to create a different account,account_management
can i delete the account?,account_management
i would like information about user account deletions,account_management
i want to delete an account,account_management
assistance to delete the account,account_management
how do i remove my online account,account_management
assistance deleting my account,account_management
is it possible to delete my account?,account_management
i want information about a user account deletion,account_management
can i delete an account?,account_management
can i remove an account ?,account_management
i don't know what to do to cancel a standard account,account_management
i would like to delete the account,account_management
can you tell me more about user account deletions?,account_management
what do i have to do to delete the account?,account_management
i need help to delete the account,account_management
how to delete the account?,account_management
i don't know what i have to do to delete my account,account_management
could i delete my account?,account_management
i want assistance deleting my account,account_management
i do not know how i can cancel an online account,account_management
assistance to delete an account,account_management
could you help me deleting the account?,account_management
help to delete my account,account_management
can you tell me about a user account deletion?,account_management
i need help cancelling a goddamn secondary account,account_management
i want help to close a secondary account,account_management
i don't know how to delete the account,account_management
i have a problem with my secondary account cancellation,account_management
could you tell me about user account deletions?,account_management
could you show me what options for delivery i can choose?,delivery_information
i would like to check what delivery options i have,delivery_information
i am calling to check what delivery options i have,delivery_information
i don't know how i can check what delivery options you offer,delivery_information
i need information about the delivery options,delivery_information
show me what delivery options you offer,delivery_information
i want to check what options for delivery i have,delivery_information
help checking the delivery options,delivery_information
i want help checking the delivery options,delivery_information
could i check what options for delivery are available?,delivery_information
i call to check what delivery options are available,delivery_information
checking the options for delivery,delivery_information
i want help checking the options for delivery,delivery_information
can you help me check what options for delivery i have?,delivery_information
i need to check what options for delivery are available,delivery_information
assistance checking what delivery options i can choose,delivery_information
assistance to check what options for delivery are available,delivery_information
help me checking the delivery options,delivery_information
where do i check what options for delivery i have?,delivery_information
can you show me what delivery options i have?,delivery_information
i do not know how i could check the options for delivery,delivery_information
where could i check what delivery options i have?,delivery_information
help me to check what delivery options are available,delivery_information
how could i get information about the options for delivery?,delivery_information
tell me more about the delivery options,delivery_information
could you show me what delivery options are available?,delivery_information
assistance to check what delivery options i have,delivery_information
where could i check the delivery options?,delivery_information
can i check what delivery options i can choose?,delivery_information
i am calling to check the options for delivery,delivery_information
could you help me checking what options for delivery i have?,delivery_information
will you show me what delivery options i can choose?,delivery_information
i want help to check how long the delivery takes,delivery_information
where could i check when my item is going to arrive?,delivery_information
where to check how long the delivery takes?,delivery_information
i am trying to check how long the delivery takes,delivery_information
i need help to check how soon can i expect the item,delivery_information
give me information about the delivery period,delivery_information
i am calling to check how soon can i expect the delivery,delivery_information
i need information about the delivery period,delivery_information
will you show me how long the delivery takes?,delivery_information
i am trying to find information about delivery periods,delivery_information
i need help to check when will my item arrive,delivery_information
how could i check when will my item arrive?,delivery_information
where can i get information about delivery periods?,delivery_information
i am trying to find delivery periods,delivery_information
how long does the delivery take?,delivery_information
show me when will my item arrive,delivery_information
i don't know how i could check when will my item arrive,delivery_information
how to check when my item is going to arrive?,delivery_information
i want to know about delivery periods,delivery_information
could you show me when my item is going to arrive?,delivery_information
could you help me to check how long the delivery takes?,delivery_information
can you help me check when my delivery is going to arrive?,delivery_information
how to check when will my item arrive?,delivery_information
assistance to check how soon can i expect the delivery,delivery_information
show me how soon can i expect the delivery,delivery_information
information about the delivery period,delivery_information
how can i check when my item is going to arrive?,delivery_information
could you help me check how soon can i expect the item?,delivery_information
i need help checking when my item is going to arrive,delivery_information
tell me more about the delivery periods,delivery_information
show me how soon can i expect the item,delivery_information
how to check when my delivery is going to arrive?,delivery_information
i want assistance checking how long the delivery takes,delivery_information
where can i find information about the delivery period?,delivery_information
i want to know about the delivery periods,delivery_information
i would like information about the delivery periods,delivery_information
i do not know how to check when my item is going to arrive,delivery_information
what is the delivery period for this order?,delivery_information
can you hepl me correct the details on my profile?,account_management
how could i edit the information on my account?,account_management
i don't know how i can edit my account,account_management
i do not know how i can change the info on my profile,account_management
i need help to edit my account,account_management
help me editing my personal information,account_management
what do i need to do to change the user details?,account_management
"i have to change the data on my profile, help me",account_management
can you help me edit the information on my account?,account_management
i need help modifying the user data,account_management
want help updating the info on my user profile,account_management
i am trying to edit my personal information,account_management
help me edit the information on my account,account_management
assistance editing the information on my account,account_management
i want assistance to edit the information on my account,account_management
i have got to edit my account,account_management
what do i have to do to edit my personal information?,account_management
need help to change my bloody personal details,account_management
can i edit my account?,account_management
i need to change osme of my user details,account_management
help me to edit the bloody info included on my user profile,account_management
i do not know what to do to edit my account,account_management
how to edit the information on my account?,account_management
i do not know how i can chanbe the info on my user account,account_management
i do not know how i can modify my user account,account_management
i want help editing the information on my account,account_management
i want assistance changing my personal details,account_management
help me modify the data included on my user profile,account_management
i don't know what i have to do to edit my account,account_management
i do not know how i could edit my personal information,account_management
how could i edit my account?,account_management
help to edit my personal information,account_management
i do not know how to correct the details on my account,account_management
i have got to edit the information on my account,account_management
how do i update the information on my user profile?,account_management
i do not know how i could get the invoices from 7 months ago,request_invoice
how do i get the invoices from 2 purchases ago?,request_invoice
send me the invoices from one purchases ago,request_invoice
help getting the invoice from last month,request_invoice
i do not know how to get the invoice from april,request_invoice
help me to get the invoice from 8 months ago,request_invoice
help me getting my invoices,request_invoice
i need help to get the invoices from my last purchase,request_invoice
will you send me the invoices from four months ago?,request_invoice
could you send me my invoices?,request_invoice
i want assistance to get the invoices,request_invoice
help to get the invoices from my last purchase,request_invoice
where to get the invoice from 5 purchases ago?,request_invoice
i want to get my invoice,request_invoice
i want assistance to get the invoice from my last purchase,request_invoice
i need assistance to get my invoice,request_invoice
how do i get the invoices?,request_invoice
how can i get the invoices from 9 purchases ago?,request_invoice
i do not know what i need to do to get the invoice,request_invoice
send me the invoices from nine months ago,request_invoice
help me to get the invoice from my last purchase,request_invoice
help me getting the invoices,request_invoice
i don't know what to do to get the invoice from march,request_invoice
getting invoice from last month,request_invoice
i would like to get the invoice from nine months ago,request_invoice
i am trying to get the invoice from my last purchase,request_invoice
send me the invoice,request_invoice
is it possible to get my invoice?,request_invoice
i am trying to get the invoice from 2 purchases ago,request_invoice
i am calling to get my invoices,request_invoice
getting invoices from ten months ago,request_invoice
help me getting a refund,queries_related_to_refund
i need a refund,queries_related_to_refund
help me getting a refund of money,queries_related_to_refund
i want assistance getting refunds of money,queries_related_to_refund
how can i get a refund of money?,queries_related_to_refund
i need help getting a refund,queries_related_to_refund
i want help to get a refund of money,queries_related_to_refund
could you help me get my money back?,queries_related_to_refund
i don't know what i have to do to get a refund of money,queries_related_to_refund
assistance to get a refund,queries_related_to_refund
i don't know what i have to do to get my money back,queries_related_to_refund
i do not know what i have to do to get my money back,queries_related_to_refund
i do not know how i could get refunds,queries_related_to_refund
assistance to get refunds,queries_related_to_refund
help me get a refund,queries_related_to_refund
i don't know how i can get my money back,queries_related_to_refund
i want assistance getting a refund of money,queries_related_to_refund
i do not know how i could get a refund of money,queries_related_to_refund
how do i get a refund?,queries_related_to_refund
could you help me getting refunds?,queries_related_to_refund
when will i get a refund?,queries_related_to_refund
i don't know how i can get a refund,queries_related_to_refund
i want to get refunds,queries_related_to_refund
i am trying to get my money back,queries_related_to_refund
i don't know what to do to get refunds of money,queries_related_to_refund
i need help getting refunds of money,queries_related_to_refund
i don't know what to do to get my money back,queries_related_to_refund
could you help me get refunds?,queries_related_to_refund
i can't subscribe to hte newsletter,newsletter_subscription
i am trying to subscribe to your company newsletter,newsletter_subscription
"i want to unsubscribe to your newsletter, can you help me?",newsletter_subscription
i do not know what to do to sign up to your newsletter,newsletter_subscription
i can't cancel the company newsletter subscription,newsletter_subscription
i try to unsubscribe to the corporate newsletter,newsletter_subscription
i donot know how i can unsubscribe from your newsletter,newsletter_subscription
can you help me to subscribe to your corporate newsletter?,newsletter_subscription
help me subscribing to the corporate newsleter,newsletter_subscription
tell me about cancel the subscription to ur newsletter,newsletter_subscription
check the status of my company newsletter subscription,newsletter_subscription
information about the company newsletter subscription,newsletter_subscription
can ya help me unsubscribe to the nedwsletter,newsletter_subscription
tell me about the company newsletter subscription,newsletter_subscription
help cancelling the subscription to your company newsletter,newsletter_subscription
i need help signing up to the company newsletter,newsletter_subscription
could i cancel the company newsletter subscription?,newsletter_subscription
i do ont know how to sign up to the newsletter,newsletter_subscription
i'm trying to unsubscribe to ur newsletter,newsletter_subscription
help me cancel the company newsletter subscription,newsletter_subscription
i need help cancelling the subscription to your newsletter,newsletter_subscription
cancel the subscription to your company newsletter,newsletter_subscription
i have got to subscribe to ur newsletter will  uhelp me,newsletter_subscription
issues with payments,queries_related_to_payments/fee
i need help solving issues with payments,queries_related_to_payments/fee
i need assistance solving payment issues,queries_related_to_payments/fee
help me to report an issue with payments,queries_related_to_payments/fee
could you help me to report an issue with payment?,queries_related_to_payments/fee
is it possible to report a payment issue?,queries_related_to_payments/fee
i want help solving issues with payments,queries_related_to_payments/fee
could you help me report payment issues?,queries_related_to_payments/fee
where could i report an issue with payments?,queries_related_to_payments/fee
can you help me solving an issue with payment?,queries_related_to_payments/fee
issue with payments,queries_related_to_payments/fee
help me to solve issues with payment,queries_related_to_payments/fee
help solving a payment issue,queries_related_to_payments/fee
i don't know how i could report payment issues,queries_related_to_payments/fee
help to solve payment issues,queries_related_to_payments/fee
i need help to solve a payment issue,queries_related_to_payments/fee
i don't know how i can report a payment issue,queries_related_to_payments/fee
can you help me solve issues with payment?,queries_related_to_payments/fee
i am trying to report payment issues,queries_related_to_payments/fee
i want assistance to solve payment issues,queries_related_to_payments/fee
help me report issues with payment,queries_related_to_payments/fee
i don't know how i can report an issue with payments,queries_related_to_payments/fee
help me to report a payment issue,queries_related_to_payments/fee
i have to report a payment issue,queries_related_to_payments/fee
i am trying to report issues with payment,queries_related_to_payments/fee
can you help me to solve issues with payment?,queries_related_to_payments/fee
help me solving issues with payments,queries_related_to_payments/fee
i don't know how i can make a purchase,queries_related_to_order
what do i have to do to buy something?,queries_related_to_order
help me to make a purchase,queries_related_to_order
help buying a few of your item,queries_related_to_order
help me buy several items,queries_related_to_order
i do not know what i need to do to buy several items,queries_related_to_order
where to buy some of your item?,queries_related_to_order
assistance buying some items,queries_related_to_order
help me buy several of your item,queries_related_to_order
where can i make an order?,queries_related_to_order
i do not know how i can buy something,queries_related_to_order
i don't know how i can buy several of your item,queries_related_to_order
can you help me to make a purchase?,queries_related_to_order
where do i buy several items?,queries_related_to_order
buy item,queries_related_to_order
i do not know how to buy a few of your item,queries_related_to_order
assistance making an order,queries_related_to_order
would it be possible to buy several items?,queries_related_to_order
i don't know what i have to do to buy a few of your item,queries_related_to_order
can you help me to buy something?,queries_related_to_order
where could i buy several items?,queries_related_to_order
help me buying some of your item,queries_related_to_order
i do not know how to buy several of your item,queries_related_to_order
i need help to buy several of your item,queries_related_to_order
i have to buy some of your item,queries_related_to_order
i do not know what to do to buy several items,queries_related_to_order
could you help me buying some items?,queries_related_to_order
i don't know how to buy a few of your item,queries_related_to_order
i need assistance buying several of your item,queries_related_to_order
help me to buy an item,queries_related_to_order
can you tell me more about a forgotten password?,account_management
where could i get information about forgotten passwords?,account_management
i want to know about forgotten passwords,account_management
i try to reset my pwd,account_management
what do i have to do to recover my password?,account_management
i have a problem with a forgotten password,account_management
give me information about my password retrieval,account_management
i don't know how i could recover my password,account_management
can you tell me about my key recovery?,account_management
i cannot remembre the pwd of my account i wanna reset it,account_management
how could i find information about a forgotten password?,account_management
i cannot remember my account pwd i need help to restore it,account_management
how to recover my password?,account_management
i can't recover my password,account_management
i want help restoring my account key,account_management
need assistance to retrieve my user account pin,account_management
can ya tell me more about a pin code recovery,account_management
i try to recover my password,account_management
what do i need to do to recover my password?,account_management
i am looking for information about a forgotten password,account_management
need help to report a registration error,account_management
help me report registration issues,account_management
i want assistance reporting registration issues,account_management
report issue with registration,account_management
i cannot notify of a registration error,account_management
i would like to report registration issues,account_management
can you help me to report a registration issue?,account_management
there are issues with the sxignup,account_management
could i report a registration issue?,account_management
how do i report a signup error?,account_management
could you help me reporting registration issues?,account_management
informing of problems with sign-up,account_management
i have issues registering,account_management
could i report registration issues?,account_management
help to report registration issues,account_management
i need to report fucking registration issues,account_management
could uhelp me inform of a registration error,account_management
what do i have to do to report a registration issue?,account_management
what do i need to do to informof sign-up issues,account_management
need help reporting a sign-up  problem,account_management
i don't know how to report registration issues,account_management
i need assistance regarding our sign-up,account_management
i need assistance notifying of sign-up errors,account_management
i need assistance to report sign-up issues,account_management
i do not know how i could report registration issues,account_management
i can't report registration issues,account_management
i cannot sign up help me report sign-up problems,account_management
i want assistance to leave a general_feedback for your company,general_feedback
where can i leave a general_feedback for your services?,general_feedback
could you help me to submit some feedback?,general_feedback
help submitting some feedback for your services,general_feedback
help me leave a general_feedback,general_feedback
help me submit some feedback for your services,general_feedback
can i submit some feedback for your services?,general_feedback
i want help leaving a general_feedback for your company,general_feedback
i have to leave a general_feedback for a service,general_feedback
would it be possible to leave a general_feedback for your services?,general_feedback
i don't know what to do to submit some feedback,general_feedback
assistance submitting some feedback for your services,general_feedback
i need help leaving a general_feedback for your company,general_feedback
do you have an e-mail to submit a general_feedback?,general_feedback
how do i submit some feedback for your company?,general_feedback
i am calling to submit some feedback for your company,general_feedback
where can i submit some feedback for your company?,general_feedback
is it possible to submit some feedback for your company?,general_feedback
help me leaving a general_feedback for your company,general_feedback
what do i need to do to submit some feedback for a service?,general_feedback
how can i submit some feedback?,general_feedback
i am trying to submit some feedback,general_feedback
how do i leave a general_feedback for a service?,general_feedback
can you help me leave a general_feedback for your services?,general_feedback
